Year,Beer,Bread,Butter,Cheese,Coffee,Eggs,Margarine,Milk,PorkSteak,Potatoes,Rice,Sugar,Tea
1900JJ00,0.02,0.05,0.14,0.21,0.16,0.01,0.11,0.03,0.25,0.01,0.05,0.16,0.04
1901JJ00,0.02,0.05,0.14,0.2,0.15,0.01,0.11,0.03,0.25,0.01,0.05,0.16,0.03
1902JJ00,0.02,0.05,0.13,0.21,0.16,0.01,0.15,0.03,0.3,0.01,0.05,0.15,0.04
1903JJ00,0.02,0.05,0.14,0.2,0.13,0.01,0.11,0.03,0.29,0.02,0.05,0.15,0.04
1904JJ00,0.02,0.05,0.14,0.22,0.14,0.02,0.11,0.03,0.27,0.02,0.05,0.15,0.04
1905JJ00,0.02,0.05,0.14,0.21,0.14,0.02,0.13,0.03,0.28,0.02,0.05,0.19,0.03
1906JJ00,0.02,0.05,0.15,0.22,0.15,0.02,0.13,0.03,0.31,0.02,0.05,0.17,0.04
1907JJ00,0.02,0.05,0.14,0.21,0.15,0.02,0.13,0.03,0.34,0.02,0.05,0.16,0.04
1908JJ00,0.02,0.05,0.15,0.23,0.16,0.02,0.16,0.03,0.33,0.02,0.06,0.17,0.04
1909JJ00,0.02,0.06,0.15,0.25,0.18,0.02,0.17,0.03,0.35,0.02,0.06,0.17,0.04
1910JJ00,0.02,0.06,0.15,0.26,0.2,0.02,0.15,0.03,0.38,0.02,0.06,0.17,0.04
1911JJ00,0.02,0.05,0.16,0.29,0.22,0.02,0.13,0.04,0.36,0.02,0.06,0.18,0.04
1912JJ00,0.02,0.05,0.16,0.28,0.24,0.02,0.17,0.04,0.35,0.02,0.07,0.19,0.04
1913JJ00,0.02,0.06,0.16,0.28,0.21,0.02,0.15,0.04,0.37,0.02,0.07,0.19,0.04
1914JJ00,       .,       .,       .,0.48,0.3,       .,0.23,       .,       .,       .,0.14,0.24,0.08
1915JJ00,       .,       .,       .,0.52,0.31,       .,0.24,       .,       .,       .,0.14,0.25,0.08
1916JJ00,       .,       .,       .,0.5,0.35,       .,0.26,       .,       .,       .,0.16,0.26,0.09
1917JJ00,       .,       .,       .,0.52,0.42,       .,0.28,       .,       .,       .,0.16,0.27,0.1
1918JJ00,       .,       .,       .,0.7,0.63,       .,0.31,       .,       .,       .,0.16,0.27,0.1
1919JJ00,       .,       .,       .,0.79,0.59,       .,0.34,       .,       .,       .,0.25,0.33,0.11
1920JJ00,       .,       .,       .,0.88,0.52,       .,0.38,       .,       .,       .,0.44,0.47,0.11
1921JJ00,       .,0.12,0.35,0.95,0.4,0.07,0.33,0.1,1.11,       .,0.22,0.33,0.09
1922JJ00,       .,0.1,0.29,0.78,0.4,0.05,0.29,0.08,1.01,0.05,0.18,0.27,0.09
1923JJ00,       .,0.09,0.29,0.77,0.41,0.04,0.29,0.07,0.94,0.03,0.16,0.31,0.12
1924JJ00,       .,0.09,0.3,0.78,0.46,0.04,0.27,0.07,0.94,0.05,0.16,0.3,0.13
1925JJ00,       .,0.1,0.26,0.72,0.53,0.04,0.27,0.08,0.94,0.04,0.17,0.25,0.15
1926JJ00,       .,0.1,0.26,0.72,0.53,0.04,0.27,0.07,0.84,0.04,0.17,0.23,0.15
1927JJ00,       .,0.1,0.27,0.67,0.5,0.04,0.25,0.07,0.77,0.05,0.17,0.24,0.14
1928JJ00,       .,0.1,0.27,0.72,0.49,0.04,0.25,0.07,0.75,0.05,0.17,0.23,0.13
1929JJ00,       .,0.09,0.27,0.71,0.49,0.04,0.25,0.07,0.86,0.04,0.17,0.21,0.13
1930JJ00,       .,0.09,0.23,0.64,0.45,0.03,0.25,0.06,0.84,0.04,0.16,0.27,0.13
1931JJ00,       .,0.07,0.19,0.55,0.4,0.03,0.23,0.05,0.65,0.04,0.15,0.18,0.12
1932JJ00,       .,0.07,0.17,0.41,0.37,0.02,0.2,0.05,0.49,0.04,0.14,0.18,0.11
1933JJ00,       .,0.07,0.21,0.39,0.37,0.02,0.26,0.05,0.53,0.03,0.12,0.2,0.11
1934JJ00,       .,0.07,0.2,0.35,0.35,0.02,0.26,0.05,0.53,0.03,0.11,0.22,0.11
1935JJ00,       .,0.08,0.2,0.29,0.33,0.02,0.26,0.05,0.5,0.03,0.1,0.21,0.1
1936JJ00,       .,0.08,0.2,0.31,0.31,0.02,0.25,0.05,0.49,0.02,0.1,0.21,0.1
1937JJ00,       .,0.08,0.2,0.32,0.3,0.02,0.25,0.05,0.54,0.02,0.11,0.21,0.11
1938JJ00,       .,0.08,0.19,0.34,0.3,0.02,0.25,0.05,0.57,0.03,0.11,0.21,0.11
1939JJ00,       .,0.08,0.19,0.34,0.3,0.02,0.26,0.05,0.56,0.03,0.11,0.21,0.11
1940JJ00,       .,0.08,0.22,0.44,0.34,0.03,0.29,0.06,0.62,0.03,0.13,0.24,0.12
